nome,valor_compra,preco_venda,unidade
ABRIDORES E CHAVEIROS,0.1,0.88,unidade
ABRIDORES E CHAVEIROS,0.0,0.73,unidade
ABRIDORES E CHAVEIROS,0.01,0.74,unidade
ABRIDORES E CHAVEIROS,0.02,0.75,unidade
ABRIDORES E CHAVEIROS,0.1,0.88,unidade
ABRIDORES E CHAVEIROS,0.0,0.73,unidade
ABRIDORES E CHAVEIROS,0.01,0.74,unidade
ABRIDORES E CHAVEIROS,0.02,0.75,unidade
ABRIDORES E CHAVEIROS,0.1,0.88,unidade
ABRIDORES E CHAVEIROS,0.01,0.73,unidade
ABRIDORES E CHAVEIROS,0.01,0.74,unidade
ABRIDORES E CHAVEIROS,0.02,0.76,unidade
ABRIDORES E CHAVEIROS,0.05,0.8,unidade
ABRIDORES E CHAVEIROS,0.25,1.12,unidade
ABRIDORES E CHAVEIROS,0.01,0.73,unidade
ABRIDORES E CHAVEIROS,0.01,0.74,unidade
ABRIDORES E CHAVEIROS,0.02,0.76,unidade
ABRIDORES E CHAVEIROS,0.05,0.8,unidade
ABRIDORES E CHAVEIROS,0.25,1.12,unidade
ABRIDORES E CHAVEIROS,0.01,0.73,unidade
ABRIDORES E CHAVEIROS,0.01,0.74,unidade
ABRIDORES E CHAVEIROS,0.03,0.76,unidade
ABRIDORES E CHAVEIROS,0.05,0.8,unidade
ABRIDORES E CHAVEIROS,0.25,1.12,unidade
ABRIDORES E CHAVEIROS,0.01,0.73,unidade
ABRIDORES E CHAVEIROS,0.01,0.74,unidade
ABRIDORES E CHAVEIROS,0.04,0.78,unidade
ABRIDORES E CHAVEIROS,0.07,0.83,unidade
ABRIDORES E CHAVEIROS,0.35,1.28,unidade
ABRIDORES E CHAVEIROS,0.01,0.73,unidade
ABRIDORES E CHAVEIROS,0.01,0.74,unidade
ABRIDORES E CHAVEIROS,0.03,0.76,unidade
ABRIDORES E CHAVEIROS,0.05,0.8,unidade
ABRIDORES E CHAVEIROS,0.25,1.12,unidade
ABRIDORES E CHAVEIROS,0.02,0.75,unidade
ABRIDORES E CHAVEIROS,0.04,0.78,unidade
ABRIDORES E CHAVEIROS,0.18,1.01,unidade
ABRIDORES E CHAVEIROS,0.02,0.75,unidade
ABRIDORES E CHAVEIROS,0.04,0.78,unidade
ABRIDORES E CHAVEIROS,0.18,1.01,unidade
ABRIDORES E CHAVEIROS,0.02,0.75,unidade
ABRIDORES E CHAVEIROS,0.04,0.78,unidade
ABRIDORES E CHAVEIROS,0.17,1.0,unidade
ABRIDORES E CHAVEIROS,0.02,0.75,unidade
ABRIDORES E CHAVEIROS,0.04,0.78,unidade
ABRIDORES E CHAVEIROS,0.18,1.01,unidade
ABRIDORES E CHAVEIROS,0.18,1.01,unidade
ABRIDORES E CHAVEIROS,0.0,0.72,unidade
ABRIDORES E CHAVEIROS,0.0,0.73,unidade
ABRIDORES E CHAVEIROS,0.01,0.73,unidade
ABRIDORES E CHAVEIROS,0.02,0.75,unidade
ABRIDORES E CHAVEIROS,0.0,0.72,unidade
ABRIDORES E CHAVEIROS,0.0,0.73,unidade
ABRIDORES E CHAVEIROS,0.01,0.73,unidade
CHAVEIRO METAL RESINADO ABRIDOR CORTADOR DE UNHA - 10g,8.6,14.48,unidade
CHAVEIRO METAL RESINADO ABRIDOR CORTADOR DE UNHA - 10g,8.45,14.24,unidade
CHAVEIRO METAL RESINADO CORTADOR DE UNHA EMBUTIDO - 10g,8.37,14.1,unidade
CHAVEIRO METAL RESINADO CORTADOR DE UNHA EMBUTIDO - 10g,8.64,14.54,unidade
CHAVEIRO METAL RESINADO CORTADOR DE UNHA EMBUTIDO - 10g,8.95,15.04,unidade
CHAVEIRO METAL RESINADO CORTADOR DE UNHA EMBUTIDO - 10g,8.44,14.22,unidade
CHAVEIRO METAL RESINADO MARTELINHO - 10g,8.05,13.6,unidade
CHAVEIRO METAL RESINADO MARTELINHO - 10g,7.53,12.76,unidade
CHAVEIRO METAL RESINADO MARTELINHO - 10g,7.7,13.04,unidade
CHAVEIRO METAL RESINADO MARTELINHO - 10g,7.58,12.85,unidade
CHAVEIRO METAL RESINADO MOSQUETAO ANZOL - 10g,6.75,11.52,unidade
CHAVEIRO METAL RESINADO MOSQUETAO ANZOL - 10g,6.09,10.47,unidade
CHAVEIRO METAL RESINADO MOSQUETAO ANZOL - 10g,6.3,10.8,unidade
CHAVEIRO METAL RESINADO MOSQUETAO ANZOL - 10g,6.16,10.58,unidade
CHAVEIRO METAL RESINADO MOSQUETÃO ANZOL ABRIDOR - 10g,6.65,11.36,unidade
CHAVEIRO METAL RESINADO MOSQUETÃO ANZOL ABRIDOR - 10g,6.01,10.34,unidade
CHAVEIRO METAL RESINADO MOSQUETÃO ANZOL ABRIDOR - 10g,6.26,10.74,unidade
CHAVEIRO METAL RESINADO MOSQUETÃO ANZOL ABRIDOR - 10g,6.16,10.58,unidade
CHAVEIRO METAL RESINADO MOSQUETÃO PELICANO - 10g,6.85,11.68,unidade
CHAVEIRO METAL RESINADO MOSQUETÃO PELICANO - 10g,6.25,10.71,unidade
CHAVEIRO METAL RESINADO MOSQUETÃO PELICANO - 10g,6.42,10.99,unidade
CHAVEIRO METAL RESINADO MOSQUETÃO PELICANO - 10g,6.32,10.83,unidade
CHAVEIRO METAL RESINADO MOSQUETAO REDONDO - 10g,7.65,12.96,unidade
CHAVEIRO METAL RESINADO MOSQUETAO REDONDO - 10g,6.78,11.57,unidade
CHAVEIRO METAL RESINADO MOSQUETAO REDONDO - 10g,6.94,11.82,unidade
CHAVEIRO METAL RESINADO MOSQUETAO REDONDO - 10g,6.88,11.73,unidade
ACESSÓRIOS PARA COMPUTADORES,0.02,0.76,unidade
ACESSÓRIOS PARA COMPUTADORES,0.0,0.72,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.03,0.77,unidade
ACESSÓRIOS PARA COMPUTADORES,0.06,0.81,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.03,0.77,unidade
ACESSÓRIOS PARA COMPUTADORES,0.06,0.81,unidade
ACESSÓRIOS PARA COMPUTADORES,0.02,0.75,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.73,unidade
ACESSÓRIOS PARA COMPUTADORES,0.05,0.8,unidade
ACESSÓRIOS PARA COMPUTADORES,0.03,0.76,unidade
ACESSÓRIOS PARA COMPUTADORES,0.1,0.88,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.03,0.77,unidade
ACESSÓRIOS PARA COMPUTADORES,0.06,0.81,unidade
ACESSÓRIOS PARA COMPUTADORES,0.01,0.74,unidade
ACESSÓRIOS PARA COMPUTADORES,0.0,0.72,unidade
ACESSÓRIOS PARA COMPUTADORES,0.0,0.72,unidade
ACESSÓRIOS PARA COMPUTADORES,0.03,0.76,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.02,0.75,unidade
ADESIVOS,0.01,0.74,unidade
ADESIVOS,0.15,0.97,unidade
ADESIVOS,0.02,0.74,unidade
ADESIVOS,0.03,0.77,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.01,0.74,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.15,0.97,unidade
ADESIVOS,0.03,0.77,unidade
ADESIVOS,0.02,0.74,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.01,0.74,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.15,0.97,unidade
ADESIVOS,0.03,0.77,unidade
ADESIVOS,0.02,0.74,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.01,0.74,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.11,0.89,unidade
ADESIVOS,0.01,0.74,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.04,0.78,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.02,0.75,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.11,0.89,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.04,0.78,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.02,0.74,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.11,0.89,unidade
ADESIVOS,0.02,0.75,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVO VINIL BRANCO - 120g,0.22,1.07,m²
ADESIVO VINIL BRANCO - 120g,0.21,1.06,m²
ADESIVO VINIL BRANCO - 120g,0.21,1.06,m²
ADESIVO VINIL BRANCO - 120g,0.21,1.06,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.12,0.92,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.08,0.86,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.08,0.84,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.07,0.83,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.06,0.82,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.06,0.82,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.06,0.82,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.06,0.82,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.15,0.95,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.11,0.89,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.1,0.88,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.09,0.87,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.09,0.87,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.09,0.87,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.09,0.87,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.19,1.02,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.33,1.24,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.2,1.04,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.17,1.0,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.17,0.98,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.16,0.98,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.16,0.98,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.16,0.97,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.16,0.97,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.46,1.46,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.29,1.18,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.26,1.13,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.24,1.11,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.23,1.09,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.23,1.09,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.23,1.08,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.23,1.08,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.23,1.08,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.12,0.92,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.08,0.86,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.08,0.84,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.07,0.83,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.06,0.82,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.06,0.82,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.06,0.82,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.06,0.82,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.15,0.95,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.11,0.89,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.1,0.88,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.09,0.87,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.09,0.87,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.09,0.87,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.09,0.87,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.19,1.02,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.33,1.24,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.2,1.04,m²
ADESIVO VINIL TRANSPARENTE TINTA BRANCA - 120g,0.17,1.0,m²
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.01,0.73,unidade
ADESIVOS,0.05,0.79,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.02,0.75,unidade
ADESIVOS,0.0,0.72,unidade
ADESIVOS,0.03,0.77,unidade
ADESIVOS,0.0,0.73,unidade
ADESIVOS,0.17,0.99,unidade
ADESIVOS,0.01,0.74,unidade
ADESIVOS,0.07,0.83,unidade
